VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, texcoord0.x, texcoord0.y
4034, 1166, -0.15294,  0.99249,  0.24599,  0.20418, -0.07537,  0.96753, -0.6423,  0.73381,  0.19769,  0.53514,  0.71373
4035, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4036, 1218, -0.13783,  0.97283,  0.23323,  0.25928, -0.68915,  0.66109, -0.16139,  0.65344,  0.7354,  0.49771,  0.70513
4037, 1164, -0.13927,  0.98138,  0.2367,  0.25696, -0.26983,  0.91486, -0.43458,  0.8196,  0.36721,  0.50867,  0.70116
4038, 1198, -0.14591,  0.96764,  0.22273, -0.0437, -0.97954,  0.15733, -0.00414,  0.16723,  0.97546,  0.4866,  0.7169
4039, 1218, -0.13783,  0.97283,  0.23323,  0.25928, -0.68915,  0.66109, -0.16139,  0.65344,  0.7354,  0.49771,  0.70513
4040, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4041, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4042, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4043, 1198, -0.14591,  0.96764,  0.22273, -0.0437, -0.97954,  0.15733, -0.00414,  0.16723,  0.97546,  0.4866,  0.7169
4044, 1164, -0.13927,  0.98138,  0.2367,  0.25696, -0.26983,  0.91486, -0.43458,  0.8196,  0.36721,  0.50867,  0.70116
4045, 1165, -0.15271,  0.98149,  0.23937,  0.14301, -0.62639,  0.75553, -0.45223,  0.64144,  0.61427,  0.52008,  0.7241
4046, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
